Timestamp,Nice._avg (%),System._avg (%),User._avg (%),Idle._avg (%)
1632049208,0,0,0,0
1632052808,0,0,0,0
1632056408,0,0,0,0
1632060008,0,0,0,0
1632063608,0,0,0,0
1632067208,0,0,0,0
1632070808,0,0,0,0
1632074408,0,0,0,0
1632078008,0,0,0,0
1632081608,0,0,0,0
1632085208,0,0,0,0
1632088808,0,0,0,0
1632092408,0,0,0,0
1632096008,0,0,0,0
1632099608,0,0,0,0
1632103208,0,0,0,0
1632106808,0,0,0,0
1632110408,0,0,0,0
1632114008,0,0,0,0
1632117600,0,1.295,6.445,89.225
1632121200,0.005,1.405,6.875,91.635
1632124800,0,1.36,6.62,91.96
1632128400,0.01,1.32,6.32,92.305
1632132000,0,1.315,6.265,92.375
1632135600,0,1.325,6.435,92.2
1632139200,0,1.33,6.535,92.075
1632142800,0.01,1.375,6.555,92.005
1632146400,0,1.51,8.065,90.305
1632150000,0,1.405,6.65,91.885
1632153600,0,1.38,6.34,92.23
1632157200,0,1.415,6.57,91.955
1632207600,0,1.805,13.055,84.59
1632211200,0.005,1.575,8.62,89.665
1632214800,0,1.47,7.89,90.57
1632218400,0,1.535,8.235,90.15
1632222000,0,1.6,8.415,89.925
1632225600,0.025,1.55,8.2,90.165
1632229200,0.015,1.54,8.075,90.31
1632232800,0,1.56,8,90.385
1632236400,0,1.58,8.015,90.35
1632240000,0,1.555,7.89,90.505
1632243600,0,1.6,8.035,90.305
1632247200,0,1.565,7.95,90.425
1632250800,0,1.57,7.945,90.435
1632254400,0,1.56,7.835,90.555
1632258000,0,1.535,7.795,90.61
1632261600,0,1.51,7.76,90.675
1632265200,0,1.485,7.72,90.745
1632268800,0,1.47,7.73,90.745
1632272400,0,1.525,7.86,90.565
1632276000,0,1.48,7.645,90.82
1632279600,0,1.525,7.77,90.65
1632283200,0,1.49,7.635,90.815
1632286800,0,1.5,7.655,90.795
1632290400,0,1.56,7.975,90.4
1632294000,0.045,1.555,7.81,90.56
1632297600,0,1.55,7.85,90.55
1632301200,0.005,1.565,8.19,90.185
1632304800,0,1.59,8.14,90.215
1632308400,0,1.545,8.085,90.315
1632312000,0,1.57,8.03,90.34
1632315600,0,1.605,8.15,90.185
1632319200,0,1.6,7.97,90.375
1632322800,0,1.645,8.785,89.51
1632326400,0,1.625,8.105,90.205
1632330000,0,1.645,8.065,90.235
1632384000,0.025,1.48,8.845,89.45
1632387600,0,1.36,7.015,91.57
1632391200,0,1.305,6.61,92.04
1632394800,0,1.385,6.83,91.735
1632398400,0,1.405,6.935,91.61
1632402000,0,1.34,6.725,91.88
1632405600,0.005,1.33,6.59,92.025
1632409200,0,1.38,6.75,91.81
1632412800,0,1.395,6.82,91.74
1632416400,0,1.385,6.74,91.825
1632420000,0,1.385,6.74,91.83
1632423600,0,1.36,6.665,91.93
1632427200,0,1.365,6.6,91.995
1632430800,0,1.375,6.705,91.865
1632434400,0,1.35,6.61,91.99
1632438000,0,1.365,7.005,91.585
1632441600,0,1.37,7.125,91.455
1632445200,0,1.52,7.565,90.86
1632448800,0,1.42,7.255,91.28
1632452400,0,1.4,7.195,91.35
1632456000,0.005,1.485,7.38,91.085
1632459600,0,1.56,7.605,90.79
1632463200,0,1.39,7.2,91.365
1632466800,0.01,1.425,7.24,91.285
1632470400,0.025,1.375,7.065,91.51
1632474000,0,1.3,6.8,91.865
1632477600,0,1.35,7.195,91.41
1632481200,0,1.415,7.29,91.21
1632484800,0,1.365,6.945,91.645
1632488400,0,1.385,6.95,91.615
1632492000,0,1.37,6.825,91.76
1632495600,0,1.365,6.82,91.725
1632499200,0,1.515,7.3,91.085
1632502800,0,1.505,7.345,91.085
1632726000,0,1.68,11.98,85
1632729600,0,1.49,7.28,91.095
1632733200,0,1.57,7.555,90.8
1632736800,0,1.445,6.795,91.715
1632740400,0.025,1.4,6.45,92.085
1632744000,0,1.33,6.185,87.44
1632747600,0,1.4,6.82,91.72
1632751200,0,1.395,6.925,91.63
1632754800,0,1.525,7.45,90.95
1632758400,0,1.615,7.915,90.385
1632812400,0,1.655,10.44,87.64
1632819600,0,1.855,11.455,86.395
1632823200,0,1.625,7.95,90.365
1632826800,0,1.595,7.755,90.575
1632830400,0.01,1.74,8.405,89.735
1632834000,0.015,1.88,8.875,89.11
1632837600,0,1.725,8.275,89.935
1632841200,0,1.685,8.22,89.995
1632844800,0,1.71,8.03,90.195
1632891600,0.005,1.395,8.19,90.24
1632895200,0.025,1.365,6.88,91.7
1632898800,0,1.34,6.7,91.905
1632902400,0.005,1.375,7.105,91.42
1632906000,0,1.43,7.28,91.23
1632909600,0,1.37,6.82,91.76
1632913200,0,1.36,6.795,91.795
1632916800,0,1.57,7.79,90.525
1632920400,0,1.45,7.19,91.315
1632924000,0,1.465,7.19,91.285
1632927600,0,1.395,6.76,91.8
1632931200,0,1.44,6.825,91.69
1632974400,0,1.46,9.255,87.17
1632978000,0.005,1.35,7.355,91.245
1632981600,0,1.385,7.67,90.87
1632985200,0,1.55,8.225,90.07
1632988800,0,1.515,7.9,90.475
1632992400,0,1.39,7.365,91.195
1632996000,0,1.515,7.88,90.55
1632999600,0,1.405,7.37,91.175
1633003200,0,1.4,7.305,91.255
1633006800,0,1.42,7.44,91.05
1633010400,0,1.405,7.305,91.245
1633014000,0,1.445,7.35,91.15
1633017600,0,1.415,7.235,91.305
1633021200,0,1.425,7.38,91.145
1633075200,0,2.13,16.97,79.895
1633078800,0.005,1.545,8.215,90.16
1633082400,0.015,1.55,7.8,90.58
1633086000,0,1.605,7.885,90.45
1633089600,0,1.555,7.64,90.75
1633093200,0,1.68,8.43,89.735
1633096800,0.01,1.895,9.155,88.875
1633100400,0,1.85,8.75,89.31
1633330800,0,1.49,8.525,86.085
1633334400,0,1.4,6.795,91.755
1633338000,0,1.48,7.705,90.73
1633341600,0,1.61,8.725,89.545
1633345200,0.015,1.64,7.775,90.455
1633348800,0.01,1.495,6.98,91.43
1633352400,0,1.52,7.055,91.06
1633356000,0,1.545,7.065,91.305
1633359600,0,1.54,6.975,91.405
1633363200,0,1.525,6.815,91.585
1633366800,0,1.495,6.81,91.615
1633370400,0,1.5,6.785,91.635
1633374000,0,1.485,6.77,91.67
1633377600,0,1.515,6.775,91.63
1633381200,0,1.525,6.865,91.52
1633384800,0,1.525,6.865,91.54
1633388400,0,1.52,6.82,91.575
1633392000,0,1.49,6.765,91.66
1633395600,0,1.485,6.84,91.59
1633399200,0,1.44,6.63,91.845
1633402800,0,1.445,6.645,91.82
1633406400,0,1.43,6.63,91.86
1633410000,0,1.42,6.56,91.94
1633413600,0,1.43,6.62,91.86
1633417200,0.025,1.505,6.84,91.53
1633420800,0,1.48,6.725,91.715
1633424400,0,1.545,6.88,91.44
1633428000,0.025,1.485,6.735,91.68
1633431600,0,1.53,7.265,91.085
1633435200,0,1.485,6.755,91.675
1633438800,0,1.42,6.62,91.885
1633442400,0,1.415,6.715,91.77
1633446000,0,1.41,6.525,91.985
1633449600,0,1.395,6.505,92.02
1633496400,0.005,1.505,9.265,89.04
1633500000,0,1.365,7.435,91.15
1633503600,0.035,1.375,7.545,91.015
1633507200,0,1.4,7.375,91.175
1633510800,0,1.415,7.5,91.005
1633514400,0,1.425,7.635,90.865
1633518000,0,1.63,9.08,89.15
1633521600,0,1.55,7.81,90.575
1633525200,0,1.64,9.95,88.305
1633528800,0,1.63,8.045,90.035
1633532400,0,1.5,7.445,91
1633536000,0,1.49,7.53,90.8
1633539600,0,1.525,7.535,90.89
1633586400,0,1.9,14.825,83.08
1633590000,0.005,1.475,8.7,89.575
1633593600,0,1.415,8.56,89.88
1633597200,0,1.2,6.535,92.225
1633600800,0,1.195,6.25,92.52
1633604400,0,1.2,6.295,92.465
1633608000,0.02,1.28,6.675,91.97
1633611600,0,1.225,6.3,92.435
1633615200,0,1.575,8.5,89.825
1633618800,0,1.9,11.345,86.53
1633622400,0,1.57,7.665,90.67
1633690800,0,1.675,13.585,84.27
1633694400,0,1.78,8.385,89.65
1633698000,0,1.385,7.17,91.36
1633701600,0,1.395,7.1,91.42
1633705200,0,1.405,7.13,91.385
1633708800,0.01,1.375,7.065,91.465
1633712400,0,1.35,7.215,91.36
1633939200,0,1.655,11.335,83.91
1633942800,0.005,1.4,7.385,91.145
1633946400,0.025,1.395,7.375,91.17
1633950000,0,1.42,7.33,91.195
1633953600,0,1.395,7.16,91.4
1633957200,0,1.395,7.13,91.43
1633960800,0,1.405,7.13,91.42
1633964400,0,1.415,7.11,91.435
1633968000,0,1.4,7.05,91.515
1633971600,0,1.425,7.15,91.39
1634022000,0,2.245,18.16,78.055
1634025600,0,1.535,7.895,90.495
1634029200,0,1.55,7.8,90.54
1634032800,0,1.805,9.61,88.415
1634036400,0,1.815,8.99,89.1
1634040000,0,1.55,7.38,91.015
1634043600,0.025,1.65,7.665,90.6
1634047200,0,1.635,7.495,90.82
1634050800,0,1.585,7.36,90.965
1634054400,0,1.785,8.595,89.515
1634104800,0,1.665,11.915,86.01
1634108400,0.005,1.39,7.46,91.085
1634112000,0,1.415,7.645,90.89
1634115600,0,1.45,7.525,90.975
1634119200,0,1.425,7.335,91.2
1634122800,0,1.405,7.27,91.28
1634126400,0,1.45,7.37,91.125
1634130000,0.01,1.455,7.305,91.18
1634133600,0,1.425,7.23,91.3
1634137200,0,1.445,7.225,91.29
1634140800,0,1.445,7.255,91.265
1634198400,0,1.63,13.285,84.845
1634202000,0.005,1.245,6.82,91.88
1634205600,0,1.265,6.845,91.845
1634209200,0,1.23,6.515,92.215
1634212800,0,1.25,6.54,92.17
1634216400,0.01,1.29,6.71,91.945
1634220000,0,1.28,6.59,92.085
1634223600,0,1.285,6.625,92.045
1634227200,0,1.28,6.59,92.09
1634540400,0.005,1.605,10.16,86.185
1634544000,0,1.35,7.355,91.25
1634547600,0.015,1.32,7.19,91.445
1634551200,0,1.5,9.325,89.09
1634554800,0.04,1.41,7.52,91.01
