Timestamp,Available,Total._avg (B),Use._avg (B)
1633003200,5231930721,23522713600,18290782879
1633006800,5166029978,23522713600,18356683622
1633010400,5192001300,23522713600,18330712300
1633014000,5184486287,23522713600,18338227313
1633017600,5230504566,23522713600,18292209034
1633021200,5208319877,23522713600,18314393723
1633075200,12690905354,23522713600,10831808246
1633078800,8834863508,23522713600,14687850092
1633082400,7924174986,23522713600,15598538614
1633086000,7621852129,23522713600,15900861471
1633089600,7383295063,23522713600,16139418537
1633093200,6738401096,23522713600,16784312504
1633096800,5467836344,23522713600,18054877256
1633100400,5403473961,23522713600,18119239639
1633330800,9816829983,22389408297,12572578314
1633334400,8341229563,23522709504,15181479941
1633338000,7867655368,23522709504,15655054136
1633341600,5379571369,23522709504,18143138135
1633345200,4413598126,23522709504,19109111378
1633348800,4441452457,23522709504,19081257047
1633352400,4162465132,23522709504,19360244372
1633356000,3980042199,23522709504,19542667305
1633359600,3933737405,23522709504,19588972099
1633363200,3822510899,23522709504,19700198605
1633366800,3824489784,23522709504,19698219720
1633370400,3764679695,23522709504,19758029809
1633374000,3807732874,23522709504,19714976630
1633377600,3823245194,23522709504,19699464310
1633381200,3829673861,23522709504,19693035643
1633384800,3830797563,23522709504,19691911941
1633388400,3818818831,23522709504,19703890673
1633392000,3794370975,23522709504,19728338529
1633395600,3823962593,23522709504,19698746911
1633399200,3790414454,23522709504,19732295050
1633402800,3768477133,23522709504,19754232371
1633406400,3735208740,23522709504,19787500764
1633410000,3702920607,23522709504,19819788897
1633413600,3653844413,23522709504,19868865091
1633417200,3547920737,23522709504,19974788767
1633420800,3680635208,23522709504,19842074296
1633424400,3377496515,23522709504,20145212989
1633428000,3333628785,23522709504,20189080719
1633431600,3323194184,23522709504,20199515320
1633435200,3391784786,23522709504,20130924718
1633438800,3400799503,23522709504,20121910001
1633442400,3350791578,23522709504,20171917926
1633446000,3933232809,23522709504,19589476695
1633449600,3903991081,23522709504,19618718423
1633496400,9531639168,23522709504,13991070336
1633500000,8092467645,23522709504,15430241859
1633503600,7515158497,23522709504,16007551007
1633507200,7083984420,23522709504,16438725084
1633510800,7062940278,23522709504,16459769226
1633514400,6937954412,23522709504,16584755092
1633518000,4966899799,23522709504,18555809705
1633521600,4467838070,23522709504,19054871434
1633525200,4182031268,23522709504,19340678236
1633528800,5198658514,23522709504,18324050990
1633532400,5517850772,23522709504,18004858732
1633536000,5526119767,23522709504,17996589737
1633539600,5538613233,23522709504,17984096271
1633586400,19369233260,23522713600,4153480340
1633590000,8565186012,23522713600,14957527588
1633593600,6092912266,23522713600,17429801334
1633597200,5943040143,23522713600,17579673457
1633600800,5953971901,23522713600,17568741699
1633604400,5874374246,23522713600,17648339354
,0,,
