Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B)
1632049188,0,0,0,0,0,0
1632052788,0,0,0,0,0,0
1632056388,0,0,0,0,0,0
1632059988,0,0,0,0,0,0
1632063588,0,0,0,0,0,0
1632067188,0,0,0,0,0,0
1632070788,0,0,0,0,0,0
1632074388,0,0,0,0,0,0
1632077988,0,0,0,0,0,0
1632081588,0,0,0,0,0,0
1632085188,0,0,0,0,0,0
1632088788,0,0,0,0,0,0
1632092388,0,0,0,0,0,0
1632095988,0,0,0,0,0,0
1632099588,0,0,0,0,0,0
1632103188,0,0,0,0,0,0
1632106788,0,0,0,0,0,0
1632110388,0,0,0,0,0,0
1632113988,0,0,0,0,0,0
1632117588,0,0,0,0,0,0
1632117600,2185553.92,3059846118.4,0,0,22583934243.84,14173632952.32
1632121200,2252800,3305728250.88,0,0,23522713600,15778123724.8
1632124800,2252800,3415807022.08,0,0,23522713600,16511340247.04
1632128400,2252800,3452969589.76,0,0,23522713600,16798778931.2
1632132000,2252800,3470542704.64,0,0,23522713600,16809403156.48
1632135600,2252800,3529851392,0,0,23522713600,16928283294.72
1632139200,2252800,3572182978.56,0,0,23522713600,17130296714.24
1632142800,2252800,3526489543.68,0,0,23522713600,17119479413.76
1632146400,1600783.36,4429224207.36,0,0,23522713600,17405197347.84
1632150000,1257472,4508970956.8,0,0,23522713600,17352205009.92
1632153600,1257472,4554292167.68,0,0,23522713600,17283779256.32
1632157200,1257472,4587638323.2,0,0,23522713600,17344078172.16
1632207600,2252800,2770216524.8,0,0,23522713600,12137943372.8
1632211200,2252800,3192565063.68,0,0,23522713600,14944288250.88
1632214800,2252800,3517012055.04,0,0,23522713600,15645155087.36
1632218400,2253568,3553819750.4,0,0,23522713600,15972947491.84
1632222000,2546022.4,3674298557.44,0,0,23522713600,17613848166.4
1632225600,2250752,3581793131.52,0,0,23522713600,17915990743.04
1632229200,2250752,3565638558.72,0,0,23522713600,18021515535.36
1632232800,2250752,3572147712,0,0,23522713600,18049936634.88
1632236400,2250752,3569008040.96,0,0,23522713600,18047429775.36
1632240000,2250752,3588844994.56,0,0,23522713600,17864049464.32
1632243600,2250752,3658659788.8,0,0,23522713600,17766823459.84
1632247200,2250752,3718708418.56,0,0,23522713600,17812961617.92
1632250800,2250752,3758249436.16,0,0,23522713600,17865393628.16
1632254400,2250752,3774417561.6,0,0,23522713600,17897149327.36
1632258000,2250752,3810628044.8,0,0,23522713600,17942397337.6
1632261600,2250752,3837871226.88,0,0,23522713600,17975950305.28
1632265200,2250752,3869249418.24,0,0,23522713600,18026325867.52
1632268800,2250752,3881406704.64,0,0,23522713600,18067724047.36
1632272400,2250752,3904099261.44,0,0,23522713600,18115330017.28
1632276000,2250752,3894648043.52,0,0,23522713600,18108280663.04
1632279600,2250752,3911067893.76,0,0,23522713600,18060698071.04
1632283200,2250752,3935863956.48,0,0,23522713600,18102396226.56
1632286800,2250752,3965734333.44,0,0,23522713600,18042987919.36
1632290400,2250752,3975171015.68,0,0,23522713600,18087531402.24
1632294000,2250752,3769668162.56,0,0,23522713600,18104792437.76
1632297600,2250752,3818439480.32,0,0,23522713600,18052515671.04
1632301200,2250752,3526169671.68,0,0,23522713600,18242659333.12
1632304800,2250752,3492985338.88,0,0,23522713600,17932811095.04
1632308400,2250752,3509963688.96,0,0,23522713600,18179701657.6
1632312000,2250752,3534527042.56,0,0,23522713600,18326321617.92
1632315600,2250752,3541848181.76,0,0,23522713600,18289335362.56
1632319200,2250752,3561728204.8,0,0,23522713600,18390398837.76
1632322800,2250752,3598121308.16,0,0,23522713600,18417573053.44
1632326400,2250752,3620388966.4,0,0,23522713600,18391902356.48
1632330000,2250752,3628636769.28,0,0,23522713600,18353326341.12
1632384000,2252800,2989722147.84,0,0,23522713600,14067402941.44
1632387600,2252800,3097638466.56,0,0,23522713600,15520733240.32
1632391200,2252800,3137181793.28,0,0,23522713600,15683251036.16
1632394800,2252800,3175385036.8,0,0,23522713600,15930855869.44
1632398400,2252800,3210370647.04,0,0,23522713600,16087867765.76
1632402000,2252800,3303529297.92,0,0,23522713600,16344180910.08
1632405600,2252800,3338506352.64,0,0,23522713600,16403040174.08
1632409200,2252800,3364468638.72,0,0,23522713600,16486031723.52
1632412800,2252800,3408848317.44,0,0,23522713600,16628927539.2
1632416400,2252800,3434188293.12,0,0,23522713600,16602679582.72
1632420000,2252800,3471297873.92,0,0,23522713600,16667152163.84
1632423600,2252800,3494904448,0,0,23522713600,16731845032.96
1632427200,2252800,3529108126.72,0,0,23522713600,16640976501.76
1632430800,2252800,3559934059.52,0,0,23522713600,16685407252.48
1632434400,2252800,3590284682.24,0,0,23522713600,16719764572.16
1632438000,2252800,3610021975.04,0,0,23522713600,16750309826.56
1632441600,2252800,3631442882.56,0,0,23522713600,16787373957.12
1632445200,2252800,3667097210.88,0,0,23522713600,16832612014.08
1632448800,2252800,3683471928.32,0,0,23522713600,16884300902.4
1632452400,2252800,3705238123.52,0,0,23522713600,16959051187.2
1632456000,2252800,3729176908.8,0,0,23522713600,16973705431.04
1632459600,2252800,3765349447.68,0,0,23522713600,16973727810.56
1632463200,2252800,3790255283.2,0,0,23522713600,17010800522.24
1632466800,2252800,3813382103.04,0,0,23522713600,17051623009.28
1632470400,2252800,3878088565.76,0,0,23522713600,17096612582.4
