Timestamp,,,,,Total._avg (B),Use._avg (B),Available_avg
1632049188,,,,,0,0,0
1632052788,,,,,0,0,0
1632056388,,,,,0,0,0
1632059988,,,,,0,0,0
1632063588,,,,,0,0,0
1632067188,,,,,0,0,0
1632070788,,,,,0,0,0
1632074388,,,,,0,0,0
1632077988,,,,,0,0,0
1632081588,,,,,0,0,0
1632085188,,,,,0,0,0
1632088788,,,,,0,0,0
1632092388,,,,,0,0,0
1632095988,,,,,0,0,0
1632099588,,,,,0,0,0
1632103188,,,,,0,0,0
1632106788,,,,,0,0,0
1632110388,,,,,0,0,0
1632113988,,,,,0,0,0
1632117588,,,,,0,0,0
1632117600,,,,,22583934244,14173632952,8410301292
1632121200,,,,,23522713600,15778123725,7744589875
1632124800,,,,,23522713600,16511340247,7011373353
1632128400,,,,,23522713600,16798778931,6723934669
1632132000,,,,,23522713600,16809403156,6713310444
1632135600,,,,,23522713600,16928283295,6594430305
1632139200,,,,,23522713600,17130296714,6392416886
1632142800,,,,,23522713600,17119479414,6403234186
1632146400,,,,,23522713600,17405197348,6117516252
1632150000,,,,,23522713600,17352205010,6170508590
1632153600,,,,,23522713600,17283779256,6238934344
1632157200,,,,,23522713600,17344078172,6178635428
1632207600,,,,,23522713600,12137943373,11384770227
1632211200,,,,,23522713600,14944288251,8578425349
1632214800,,,,,23522713600,15645155087,7877558513
1632218400,,,,,23522713600,15972947492,7549766108
1632222000,,,,,23522713600,17613848166,5908865434
1632225600,,,,,23522713600,17915990743,5606722857
1632229200,,,,,23522713600,18021515535,5501198065
1632232800,,,,,23522713600,18049936635,5472776965
1632236400,,,,,23522713600,18047429775,5475283825
1632240000,,,,,23522713600,17864049464,5658664136
1632243600,,,,,23522713600,17766823460,5755890140
1632247200,,,,,23522713600,17812961618,5709751982
1632250800,,,,,23522713600,17865393628,5657319972
1632254400,,,,,23522713600,17897149327,5625564273
1632258000,,,,,23522713600,17942397338,5580316262
1632261600,,,,,23522713600,17975950305,5546763295
1632265200,,,,,23522713600,18026325868,5496387732
1632268800,,,,,23522713600,18067724047,5454989553
1632272400,,,,,23522713600,18115330017,5407383583
1632276000,,,,,23522713600,18108280663,5414432937
1632279600,,,,,23522713600,18060698071,5462015529
1632283200,,,,,23522713600,18102396227,5420317373
1632286800,,,,,23522713600,18042987919,5479725681
1632290400,,,,,23522713600,18087531402,5435182198
1632294000,,,,,23522713600,18104792438,5417921162
