Timestamp,Available,,User._avg (%),Idle._avg (%)
1633000800,84.73,,6.955,91.685
1633001100,82.33,,8.06,90.39
1633001400,86.07,,6.32,92.39
1633001700,84.065,,7.23,91.295
1633002000,84.45,,7.095,91.545
1633002300,82.92,,7.785,90.705
1633002600,83.67,,7.445,91.115
1633002900,82.755,,7.88,90.635
1633003200,83.95,,7.305,91.255
1633003500,83.335,,7.625,90.96
1633003800,83.685,,7.44,91.125
1633004100,82.695,,7.9,90.595
1633004400,83.295,,7.625,90.92
1633004700,82.76,,7.87,90.63
1633005000,84.425,,7.06,91.485
1633005300,84.67,,6.95,91.62
1633005600,81.455,,8.15,89.605
1633005900,82.915,,7.78,90.695
1633006200,83.865,,7.35,91.215
1633006500,82.165,,8.145,90.31
1633006800,83.61,,7.44,91.05
1633007100,83.63,,7.445,91.075
1633007400,84.445,,7.08,91.525
1633007700,81.815,,8.305,90.12
1633008000,84.07,,7.27,91.34
1633008300,81.475,,8.47,89.945
1633008600,85.615,,6.535,92.15
1633008900,83.895,,7.32,91.215
1633009200,84.56,,7.04,91.6
1633009500,82.065,,8.185,90.25
1633009800,84.74,,6.965,91.705
1633010100,82.435,,8.01,90.445
1633010400,83.94,,7.305,91.245
1633010700,83.94,,7.295,91.235
1633011000,83.77,,7.4,91.17
1633011300,82.4,,7.975,90.375
1633011600,82.355,,8,90.355
1633011900,82.275,,8.085,90.36
1633012200,84.005,,7.29,91.295
1633012500,84.15,,7.19,91.34
1633012800,83.49,,7.51,91
1633013100,82.84,,7.815,90.655
1633013400,84.035,,7.245,91.28
1633013700,82.525,,7.95,90.475
1633014000,83.8,,7.35,91.15
1633014300,83.685,,7.41,91.095
1633014600,84.06,,7.25,91.31
1633014900,82.17,,8.145,90.315
1633015200,83.845,,7.375,91.22
1633015500,82.33,,8.065,90.395
1633015800,85.47,,6.59,92.06
1633016100,83.95,,7.275,91.225
1633016400,84.325,,7.12,91.445
1633016700,82.545,,7.95,90.495
1633017000,84.36,,7.11,91.47
1633017300,82.59,,7.93,90.52
1633017600,84.07,,7.235,91.305
1633017900,83.13,,7.68,90.81
1633018200,83.825,,7.375,91.2
1633018500,82.085,,8.2,90.285
1633018800,83.88,,7.335,91.215
1633019100,82.815,,7.83,90.645
1633019400,84.715,,6.945,91.66
1633019700,84.365,,7.085,91.45
1633020000,83.66,,7.43,91.09
1633020300,82.53,,7.97,90.5
1633020600,83.875,,7.34,91.215
1633020900,82.17,,8.145,90.315
1633021200,83.765,,7.38,91.145
1633021500,82.895,,7.795,90.69
1633021800,84.125,,7.21,91.335
1633022100,82.6,,7.92,90.52
1633022400,84.315,,7.125,91.44
1633022700,81.83,,8.3,90.13
1633074600,68.82,,14.615,83.435
1633074900,45.535,,24.68,70.215
1633075200,62.925,,16.97,79.895
1633075500,82.715,,7.865,90.58
1633075800,81.93,,8.22,90.15
1633076100,83.16,,7.655,90.815
1633076400,81.695,,8.34,90.035
1633076700,84.93,,6.81,91.74
1633077000,76.54,,10.84,87.38
1633077300,81.19,,8.48,89.67
1633077600,82.02,,8.185,90.205
1633077900,82.17,,8.09,90.26
1633078200,81.075,,8.63,89.705
1633078500,83.5,,7.45,90.95
1633078800,81.945,,8.215,90.16
1633079100,82.51,,7.92,90.43
1633079400,82.71,,7.845,90.555
1633079700,82.48,,7.94,90.42
1633080000,81.68,,8.33,90.01
1633080300,84.65,,6.915,91.565
1633080600,81.61,,8.385,89.995
1633080900,83.555,,7.445,91
1633081200,82.26,,8.045,90.305
1633081500,83.605,,7.375,90.98
1633081800,80.865,,8.735,89.6
1633082100,84.97,,6.73,91.7
1633082400,82.78,,7.8,90.58
1633082700,82.745,,7.805,90.55
1633083000,82.43,,7.96,90.39
1633083300,82.97,,7.68,90.65
1633083600,81.16,,8.55,89.71
1633083900,84.885,,6.785,91.67
1633084200,82.11,,8.105,90.215
1633084500,83.285,,7.54,90.825
1633084800,81.295,,8.475,89.77
1633085100,82.95,,7.705,90.655
1633085400,80.56,,8.86,89.42
1633085700,84.73,,6.85,91.58
1633086000,82.565,,7.885,90.45
1633086300,82.755,,7.785,90.54
1633086600,82.72,,7.825,90.545
1633086900,82.78,,7.77,90.55
1633087200,82.235,,8.045,90.28
1633087500,84.835,,6.795,91.63
1633087800,82.755,,7.82,90.575
1633088100,83.21,,7.58,90.79
1633088400,82.98,,7.715,90.695
1633088700,82.865,,7.75,90.615
1633089000,82.255,,8.095,90.35
1633089300,84.83,,6.84,91.67
1633089600,83.11,,7.64,90.75
1633089900,81.795,,8.22,90.015
1633090200,83.235,,7.58,90.815
1633090500,83.145,,7.615,90.76
1633090800,82.025,,8.145,90.17
1633091100,85.57,,6.45,92.02
1633091400,82.18,,8.065,90.245
1633091700,83.735,,7.34,91.075
1633092000,81.835,,8.19,90.025
1633092300,81.035,,8.28,89.315
1633092600,70.995,,13.265,84.26
1633092900,76.75,,10.49,87.24
1633093200,81.305,,8.43,89.735
1633093500,83.085,,7.63,90.715
1633093800,72.885,,12.355,85.24
1633094100,79.595,,9,88.595
1633094400,69.56,,13.855,83.415
1633094700,85.31,,6.58,91.89
1633095000,82.27,,8,90.27
1633095300,71.69,,12.865,84.555
1633095600,81.98,,8.105,90.085
1633095900,82.79,,7.765,90.555
1633096200,82.1,,8.12,90.22
1633096500,83.895,,7.22,91.115
1633096800,79.72,,9.155,88.875
1633097100,82.005,,8.14,90.145
1633097400,71.73,,12.795,84.525
1633097700,81.275,,8.39,89.665
1633098000,81.97,,8.16,90.13
1633098300,84.365,,7.005,91.37
1633098600,83.195,,7.575,90.77
1633098900,82.19,,7.925,90.115
1633099200,70.96,,13.045,84.005
1633099500,80.025,,9.005,89.03
1633099800,81.465,,8.39,89.855
1633100100,84.69,,6.845,91.535
1633100400,80.56,,8.75,89.31
1633100700,82.39,,7.89,90.28
1633101000,82.73,,7.8,90.53
1633101300,81.995,,8.12,90.115
1633101600,82.31,,7.995,90.305
1633101900,85.145,,6.65,91.795
1633102200,83.835,,7.275,91.11
1633102500,84.365,,7.015,91.38
1633102800,83.785,,7.3,91.085
1633103100,83.93,,7.22,91.15
1633103400,83.31,,7.545,90.855
1633103700,85.505,,6.48,91.985
1633104000,83.345,,7.52,90.865
1633104300,83.94,,7.23,91.17
1633104600,84.405,,6.99,91.395
1633327800,51.39,,22.45,73.84
1633328100,68.995,,13.89,82.885
1633328400,81.74,,8.385,90.125
1633328700,83.335,,7.6,90.935
1633329000,83.915,,7.315,91.23
1633329300,85.93,,6.355,92.285
1633329600,84.815,,6.885,91.7
1633329900,86.06,,6.265,92.325
1633330200,84.415,,7.08,91.495
1633330500,84.265,,7.135,91.4
1633330800,77.56,,8.525,86.085
1633331100,85.535,,6.535,92.07
1633331400,84.465,,7.035,91.5
1633331700,86.16,,6.22,92.38
1633332000,83.61,,7.425,91.035
1633332300,84.54,,6.995,91.535
1633332600,83.07,,7.69,90.76
